自動車メーカー,車種,型式,エンジン,適合詳細,仕様,プレート,種類,販売価格,Camp価格,商品ID,物販コード,メーカー品番,メーカー名,商品名,商品,商品種別,付属品/必要部品,備考,注意事項,定価,入り送料,,規格1,パターン数,管理用コード
トヨタ,マークII,JZX90,1JZ-GTE,,STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,ツイン,559,144565,,291694,ORC-559-02T-qq-e-441k,ORC-559-02T,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,204000,0,,,,
トヨタ,マークII,JZX90,1JZ-GTE,,SE機構付き<br>プル式,トリプル,1000F,148753,,292091,ORC-P1000F-TT0202-qq-e-433k,ORC-P1000F-TT0202,ORC,Metal Series ORC-1000F(トリプル),Metal Series ORC-1000F,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。,,,210000,0,,,,
トヨタ,マークII,JZX90,1JZ-GTE,,プッシュ式,トリプル,1000F,169693,,291544,ORC-1000F-02T-qq-e-434k,ORC-1000F-02T,ORC,Metal Series ORC-1000F(トリプル),Metal Series ORC-1000F,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,,240000,0,,,,
トヨタ,マークII,JZX90,1JZ-GTE,,プッシュ式,トリプル,1000F,181560,,291558,ORC-1000F-SPL-TT0202-qq-e-432k,ORC-1000F-SPL-TT0202,ORC,Metal Series ORC-1000F(トリプル),Metal Series ORC-1000F,Metal Series,F/W取付ボルト:クラッチKITに付属されております。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Bタイプ)<br>専用変換キット:クラッチKITに付属されております。,,ドラッグ専用。走行毎に、クラッチ調整を行って使用してください。,257000,0,,,,
日産,180SX,RPS13,SR20DE/SR20DET,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,409,74065,,291653,ORC-409D-02N-qq-e-4k,ORC-409D-02N,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),オプションとして静音タイプ、高μタイプの設定があります。(ご希望の場合はご購入前にお問い合わせください),,103000,0,,,,
日産,180SX,RPS13,SR20DE/SR20DET,,STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,シングル,409,71971,,291636,ORC-409-02N-qq-e-9k,ORC-409-02N,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),オプションとして静音タイプ、高μタイプの設定があります。(ご希望の場合はご購入前にお問い合わせください),,100000,0,,,,
日産,180SX,RPS13,SR20DE/SR20DET,,HP(高圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,ツイン,659,121530,,291793,ORC-659D-NS0207-qq-e-8k,ORC-659D-NS0207,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,171000,0,,,,
日産,180SX,RPS13,SR20DE/SR20DET,,HP(高圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,ツイン,659,117342,,291778,ORC-659-NS0207-qq-e-5k,ORC-659-NS0207,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,165000,0,,,,
日産,180SX,RPS13,SR20DE/SR20DET,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,ツイン,559,114550,,291735,ORC-559D-02N-qq-e-10k,ORC-559D-02N,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,161000,0,,,,
日産,180SX,RPS13,SR20DE/SR20DET,,STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,ツイン,559,110362,,291688,ORC-559-02N-qq-e-7k,ORC-559-02N,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,155000,0,,,,
日産,180SX,RPS13,SR20DE/SR20DET,,プッシュ式,トリプル,1000F,138282,,292013,ORC-1000F-NS0207-qq-e-6kA/ORC-1000F-NS0207-qq-e-6kB,ORC-1000F-NS0207,ORC,Metal Series ORC-1000F(トリプル),Metal Series ORC-1000F,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ・Bタイプから選択),Aタイプは切れ性は不利になりますが、半クラッチの操作が容易となります。Bタイプは切れ性は有利になりますが、半クラッチの操作がやや難しくなります。,,195000,0,,レリーズベアリング,2,ORC-1000F-NS0207-qq-e-6k
日産,180SX,S13,CA18DET,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,409,74065,,291663,ORC-409D-03N-qq-e-14k,ORC-409D-03N,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),ご購入前にお問い合わせください。,,103000,0,,,,
日産,180SX,S13,CA18DET,,STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,シングル,409,71971,,291646,ORC-409-03N-qq-e-15k,ORC-409-03N,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),ご購入前にお問い合わせください。,,100000,0,,,,
日産,サニー,B110,A12,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,209,76158,,291567,ORC-209D-NS1012-SE-qq-e-16k,ORC-209D-NS1012-SE,ORC,Metal Series ORC-209(シングル),Metal Series ORC-209,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:指定スリーブ(日産純正スリーブ:30501-H8560)を必ずお使い下さい。(ORCクラッチには付属されておりません)<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,106000,0,,,,
日産,サニー,B210,A12,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,209,76158,,291568,ORC-209D-NS1012-SE-qq-e-18k,ORC-209D-NS1012-SE,ORC,Metal Series ORC-209(シングル),Metal Series ORC-209,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:指定スリーブ(日産純正スリーブ:30501-H8560)を必ずお使い下さい。(ORCクラッチには付属されておりません)<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,受注生産品(3週間程度)<br>レース用にクラッチ重量を軽減しているため、アイドリングの安定性が損なわれる可能性があります。,106000,0,,,,
日産,サニー,B310,A12,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,209,76158,,291569,ORC-209D-NS1012-SE-qq-e-20k,ORC-209D-NS1012-SE,ORC,Metal Series ORC-209(シングル),Metal Series ORC-209,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:指定スリーブ(日産純正スリーブ:30501-H8560)を必ずお使い下さい。(ORCクラッチには付属されておりません)<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,106000,0,,,,
日産,サニー,B310,A14,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,209,76158,,291570,ORC-209D-NS1012-SE-qq-e-22k,ORC-209D-NS1012-SE,ORC,Metal Series ORC-209(シングル),Metal Series ORC-209,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:指定スリーブ(日産純正スリーブ:30501-H8560)を必ずお使い下さい。(ORCクラッチには付属されておりません)<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,106000,0,,,,
日産,サニー,B310,A15,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,209,76158,,292017,ORC-209D-NS1012-SE-qq-e-24k,ORC-209D-NS1012-SE,ORC,Metal Series ORC-209(シングル),Metal Series ORC-209,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:指定スリーブ(日産純正スリーブ:30501-H8560)を必ずお使い下さい。(ORCクラッチには付属されておりません)<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,106000,0,,,,
日産,シルビア,PS13,SR20DE/SR20DET,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,409,74065,,291652,ORC-409D-02N-qq-e-33k,ORC-409D-02N,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),オプションとして静音タイプ、高μタイプ、高圧着カバーの設定があります。(ご希望の場合はご購入前にお問い合わせください),,103000,0,,,,
日産,シルビア,PS13,SR20DE/SR20DET,,STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,シングル,409,71971,,291633,ORC-409-02N-qq-e-34k,ORC-409-02N,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),オプションとして静音タイプ、高μタイプ、高圧着カバーの設定があります。(ご希望の場合はご購入前にお問い合わせください),,100000,0,,,,
日産,シルビア,PS13,SR20DE/SR20DET,,HP(高圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,ツイン,659,121530,,291792,ORC-659D-NS0207-qq-e-31k,ORC-659D-NS0207,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,171000,0,,,,
日産,シルビア,PS13,SR20DE/SR20DET,,HP(高圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,ツイン,659,117342,,291776,ORC-659-NS0207-qq-e-30k,ORC-659-NS0207,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,165000,0,,,,
日産,シルビア,PS13,SR20DE/SR20DET,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,ツイン,559,114550,,291736,ORC-559D-02N-qq-e-32k,ORC-559D-02N,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,161000,0,,,,
日産,シルビア,PS13,SR20DE/SR20DET,,STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,ツイン,559,110362,,292052,ORC-559-02N-qq-e-29k,ORC-559-02N,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,155000,0,,,,
日産,シルビア,PS13,SR20DE/SR20DET,,プッシュ式,トリプル,1000F,138282,,292012,ORC-1000F-NS0207-qq-e-35kA/ORC-1000F-NS0207-qq-e-35kB,ORC-1000F-NS0207,ORC,Metal Series ORC-1000F(トリプル),Metal Series ORC-1000F,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ・Bタイプから選択),Aタイプは切れ性は不利になりますが、半クラッチの操作が容易となります。Bタイプは切れ性は有利になりますが、半クラッチの操作がやや難しくなります。,,195000,0,,レリーズベアリング,2,ORC-1000F-NS0207-qq-e-35k
日産,シルビア,S13,CA18DET,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,409,74065,,292041,ORC-409D-03N-qq-e-38k,ORC-409D-03N,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),ご購入前にお問い合わせください。<br>オプションとして静音タイプ、高μタイプ、高圧着カバーの設定があります。,,103000,0,,,,
日産,シルビア,S13,CA18DET,,STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,シングル,409,71971,,291647,ORC-409-03N-qq-e-39k,ORC-409-03N,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),ご購入前にお問い合わせください。<br>オプションとして静音タイプ、高μタイプ、高圧着カバーの設定があります。,,100000,0,,,,
日産,シルビア,S14,SR20DE/SR20DET,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,409,74065,,292037,ORC-409D-02N-qq-e-44k,ORC-409D-02N,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),オプションとして静音タイプ、高μタイプ、高圧着カバーの設定があります。(ご希望の場合はご購入前にお問い合わせください),,103000,0,,,,
日産,シルビア,S14,SR20DE/SR20DET,,STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,シングル,409,71971,,291634,ORC-409-02N-qq-e-49k,ORC-409-02N,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),オプションとして静音タイプ、高μタイプ、高圧着カバーの設定があります。(ご希望の場合はご購入前にお問い合わせください),,100000,0,,,,
日産,シルビア,S14,SR20DE/SR20DET,,HP(高圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,ツイン,659,121530,,292084,ORC-659D-NS0207-qq-e-47k,ORC-659D-NS0207,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,171000,0,,,,
日産,シルビア,S14,SR20DE/SR20DET,,HP(高圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,ツイン,659,117342,,291777,ORC-659-NS0207-qq-e-46k,ORC-659-NS0207,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,165000,0,,,,
日産,シルビア,S14,SR20DE/SR20DET,,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,ツイン,559,114550,,291737,ORC-559D-02N-qq-e-48k,ORC-559D-02N,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,161000,0,,,,
日産,シルビア,S14,SR20DE/SR20DET,,STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,ツイン,559,110362,,291686,ORC-559-02N-qq-e-45k,ORC-559-02N,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,155000,0,,,,
日産,シルビア,S14,SR20DE/SR20DET,,プッシュ式,トリプル,1000F,138282,,291546,ORC-1000F-NS0207-qq-e-43kA/ORC-1000F-NS0207-qq-e-43kB,ORC-1000F-NS0207,ORC,Metal Series ORC-1000F(トリプル),Metal Series ORC-1000F,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ・Bタイプから選択),Aタイプは切れ性は不利になりますが、半クラッチの操作が容易となります。Bタイプは切れ性は有利になりますが、半クラッチの操作がやや難しくなります。,,195000,0,,レリーズベアリング,2,ORC-1000F-NS0207-qq-e-43k
日産,シルビア,S15,SR20DE,5速車のみ,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,409,74065,,292038,ORC-409D-02N-qq-e-59k,ORC-409D-02N,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),オプションとして静音タイプ、高μタイプ、高圧着カバーの設定があります。(ご希望の場合はご購入前にお問い合わせください),,103000,0,,,,
日産,シルビア,S15,SR20DE,5速車のみ,STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,シングル,409,71971,,291635,ORC-409-02N-qq-e-57k,ORC-409-02N,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),オプションとして静音タイプ、高μタイプ、高圧着カバーの設定があります。(ご希望の場合はご購入前にお問い合わせください),,100000,0,,,,
日産,シルビア,S15,SR20DE,5速車のみ,STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,ツイン,559,114550,,291738,ORC-559D-02N-qq-e-58k,ORC-559D-02N,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,161000,0,,,,
日産,シルビア,S15,SR20DE,5速車のみ,STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,ツイン,559,110362,,291687,ORC-559-02N-qq-e-56k,ORC-559-02N,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),,,155000,0,,,,
日産,シルビア,S15,SR20DE/SR20DET,6速(5速車除く),STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,409,74065,,292039,ORC-409D-02N5-qq-e-69k,ORC-409D-02N5,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ)<br>パイロットプッシュが付属しています。,オプションとして静音タイプ、高μタイプの設定があります。(ご希望の場合はご購入前にお問い合わせください),,103000,0,,,,
日産,シルビア,S15,SR20DE/SR20DET,6速(5速車除く),STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,シングル,409,71971,,291637,ORC-409-02N5-qq-e-67k,ORC-409-02N5,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ)<br>パイロットプッシュが付属しています。,オプションとして静音タイプ、高μタイプの設定があります。(ご希望の場合はご購入前にお問い合わせください),,100000,0,,,,
日産,シルビア,S15,SR20DE/SR20DET,6速(5速車除く),HP(高圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,ツイン,659,121530,,291794,ORC-659D-NS0210-qq-e-66k,ORC-659D-NS0210,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ)<br>パイロットプッシュが付属しています。,,,171000,0,,,,
日産,シルビア,S15,SR20DE/SR20DET,6速(5速車除く),HP(高圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,ツイン,659,117342,,292082,ORC-659-NS0210-qq-e-71k,ORC-659-NS0210,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ)<br>パイロットプッシュが付属しています。,,,165000,0,,,,
日産,シルビア,S15,SR20DE/SR20DET,6速(5速車除く),STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,ツイン,559,114550,,291739,ORC-559D-02N5-qq-e-68k,ORC-559D-02N5,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ)<br>パイロットプッシュが付属しています。,,,161000,0,,,,
日産,シルビア,S15,SR20DE/SR20DET,6速(5速車除く),STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プッシュ式,ツイン,559,110362,,291689,ORC-559-02N5-qq-e-70k,ORC-559-02N5,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ)<br>パイロットプッシュが付属しています。,,,155000,0,,,,
日産,スカイライン,C10,L20,,SE機構付き<br>専用の高μディスクを採用<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,309,76158,,291609,ORC-309D-NS0911-qq-e-76k,ORC-309D-NS0911,ORC,Metal Series ORC-309(シングル),Metal Series ORC-309,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),クランクショート加工を行った場合にはスリーブ長が異なります。(別途用意してください),,106000,0,,,,
日産,スカイライン,C10,L20,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,ツイン,559,119436,,291760,ORC-559D-NS0911-qq-e-75k,ORC-559D-NS0911,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),クランクショート加工を行った場合にはスリーブ長が異なります。(別途用意してください),,168000,0,,,,
日産,スカイライン,C110,L20,,SE機構付き<br>専用の高μディスクを採用<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,シングル,309,76158,,291610,ORC-309D-NS0911-qq-e-78k,ORC-309D-NS0911,ORC,Metal Series ORC-309(シングル),Metal Series ORC-309,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),クランクショート加工を行った場合にはスリーブ長が異なります。(別途用意してください),,106000,0,,,,
日産,スカイライン,C110,L20,,SE機構付き<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プッシュ式,ツイン,559,119436,,291761,ORC-559D-NS0911-qq-e-79k,ORC-559D-NS0911,ORC,Metal Series ORC-559(ツイン),Metal Series ORC-559,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:クラッチKITに付属されております。<br>レリーズベアリング:クラッチKITに付属されております。(Aタイプ),クランクショート加工を行った場合にはスリーブ長が異なります。(別途用意してください),,168000,0,,,,
日産,スカイライン,ER34,RB25DET,ER34専用,SE機構付き<br>STD(標準圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,シングル,409,91515,,291830,ORC-P409D-NS0101-qq-e-130k,ORC-P409D-NS0101,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。,,,128000,0,,,,
日産,スカイライン,ER34,RB25DET,ER34専用,SE機構付き<br>STD(標準圧着タイプ)・ダンパー無しクラッチディスク<br>プル式,シングル,409,89422,,291816,ORC-P409-NS0101-qq-e-132k,ORC-P409-NS0101,ORC,Metal Series ORC-409(シングル),Metal Series ORC-409,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。,,,125000,0,,,,
日産,スカイライン,ER34,RB25DET,ER34専用,SE機構付き<br>HP(高圧着タイプ)・ダンパー付きクラッチディスク<br>プル式,ツイン,659,133396,,291951,ORC-P659D-NS0101-qq-e-128k,ORC-P659D-NS0101,ORC,Metal Series ORC-659(ツイン),Metal Series ORC-659,Metal Series,F/W取付ボルト:純正のフライホイール取付ボルトを用意してください。<br>スリーブベアリング:純正品をご使用ください。<br>レリーズベアリング:純正品をご使用ください。,,,188000,0,,,,
