ホンダ,N-BOXカスタム,JF1,H25/5～,S07A,2WD ターボ/カスタムGターボ・SSパッケージ,,13200,,226794,ESH-3368-qq-e-f1-5827,ESH-3368-qq-e-d-5827,4536190133687,ESH-3368,ESPELIR,DOWNSUS Plus,1台分,22～27/20～25,,3.9/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216025>BR-934F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-BOXカスタム,JF2,H23/12～,S07A,4WD NA/カスタムG/カスタムG・Lパッケージ/カスタムG・Aパッケージ,Fr：26～31mm<br>Rr：25～30mm,13640,,222268,ESH-3369-qq-e-f1-5828,ESH-3369-qq-e-d-5828,4536190133694,ESH-3369,ESPELIR,DOWNSUS Plus,1台分,26～31/25～30,Fr：26～31mm<br>Rr：25～30mm,3.9/3.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220013>BR-934F</a><br>リア:設定なし,,,31000,28100
ホンダ,N-BOXカスタム,JF2,H23/12～,S07A,4WD ターボ/Custom G・ターボパッケージ/Custom G・ターボAパッケージ,,13640,,227559,ESH-3370-qq-e-f1-5829,ESH-3370-qq-e-d-5829,4536190133700,ESH-3370,ESPELIR,DOWNSUS Plus,1台分,26～31/25～30,,3.9/3.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215031>BR-934F</a><br>リア:設定なし,,,31000,28100
ホンダ,N-BOXカスタム,JF2,H25/5～,S07A,4WD NA/カスタムG・SSパッケージ,Fr：26～31mm<br>Rr：25～30mm,13640,,225281,ESH-3371-qq-e-f1-5830,ESH-3371-qq-e-d-5830,4536190133717,ESH-3371,ESPELIR,DOWNSUS Plus,1台分,26～31/25～30,Fr：26～31mm<br>Rr：25～30mm,3.9/3.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215032>BR-934F</a><br>リア:設定なし,,,31000,28100
ホンダ,N-BOXカスタム,JF2,H25/5～,S07A,4WD ターボ/カスタムG・ターボSSパッケージ,Fr：26～31mm<br>Rr：25～30mm,13640,,224505,ESH-3372-qq-e-f1-5831,ESH-3372-qq-e-d-5831,4536190133724,ESH-3372,ESPELIR,DOWNSUS Plus,1台分,26～31/25～30,Fr：26～31mm<br>Rr：25～30mm,3.9/3.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217023>BR-934F</a><br>リア:設定なし,,,31000,28100
ホンダ,N-BOXカスタム,JF3,H29/9～,S07B,2WD カスタム ターボ/G-EX ホンダセンシング,Fr：23～28mm<br>Rr：17～22mm,13640,,222102,ESH-3749-qq-e-f1-5387,ESH-3749-qq-e-d-5387,4536190137494,ESH-3749,ESPELIR,DOWNSUS Plus,1台分,23～28/17～22,Fr：23～28mm<br>Rr：17～22mm,2.8/2.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215924>BR-3720F</a><br>リア:設定なし,,,31000,28100
ホンダ,N-BOXカスタム,JF3,H29/9～,S07B,2WD カスタム ターボ/G-L ホンダセンシング,,13640,,227396,ESH-3745-qq-e-f1-5383,ESH-3745-qq-e-d-5383,4536190137456,ESH-3745,ESPELIR,DOWNSUS Plus,1台分,23～28/17～22,,2.8/2.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220977>BR-3720F</a><br>リア:設定なし,,,31000,28100
ホンダ,N-BOXカスタム,JF3,H29/9～,S07B,2WD カスタム/G-EX ホンダセンシング,Fr：23～28mm<br>Rr：17～22mm,13640,,222827,ESH-3741-qq-e-f1-5379,ESH-3741-qq-e-d-5379,4536190137418,ESH-3741,ESPELIR,DOWNSUS Plus,1台分,23～28/17～22,Fr：23～28mm<br>Rr：17～22mm,2.8/2.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216935>BR-3720F</a><br>リア:設定なし,,,31000,28100
ホンダ,N-BOXカスタム,JF3,H29/9～,S07B,2WD カスタム/G-L ホンダセンシング,,13640,,226799,ESH-3738-qq-e-f1-5376,ESH-3738-qq-e-d-5376,4536190137388,ESH-3738,ESPELIR,DOWNSUS Plus,1台分,20～25/17～22,,2.8/2.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214942>BR-3720F</a><br>リア:設定なし,,,31000,28100
ホンダ,N-BOXカスタム,JF4,H29/9～,S07B,4WD カスタム ターボ/G-EX ホンダセンシング,Fr：16～21mm<br>Rr：13～18mm,13640,,222271,ESH-3776-qq-e-f1-5414,ESH-3776-qq-e-d-5414,4536190137760,ESH-3776,ESPELIR,DOWNSUS Plus,1台分,16～21/13～18,Fr：16～21mm<br>Rr：13～18mm,2.3/3.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214949>BR-3720F</a><br>リア:設定なし,,,31000,28100
ホンダ,N-BOXカスタム,JF4,H29/9～,S07B,4WD カスタム/G-EX ホンダセンシング,Fr：16～21mm<br>Rr：13～18mm,13640,,222832,ESH-3770-qq-e-f1-5408,ESH-3770-qq-e-d-5408,4536190137708,ESH-3770,ESPELIR,DOWNSUS Plus,1台分,16～21/13～18,Fr：16～21mm<br>Rr：13～18mm,2.3/3.4,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218965>BR-3720F</a><br>リア:設定なし,,,31000,28100
ホンダ,N-BOXスラッシュ,JF1,H26/12～,S07A,2WD ターボ/G・ターボAパッケージ/X・ターボパッケージ,,13200,,226035,ESH-3393-qq-e-f1-5131,ESH-3393-qq-e-d-5131,4536190133939,ESH-3393,ESPELIR,DOWNSUS Plus,1台分,22～27/20～25,,2.8/2.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218174>BR-1738F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-BOXスラッシュ,JF2,H26/12～,S07A,4WD NA/G/G・Aパッケージ/X,Fr：22～27mm<br>Rr：18～23mm,13200,,224507,ESH-3396-qq-e-f1-5134,ESH-3396-qq-e-d-5134,4536190133960,ESH-3396,ESPELIR,DOWNSUS Plus,1台分,22～27/18～23,Fr：22～27mm<br>Rr：18～23mm,2.3/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213141>BR-1738F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-BOXスラッシュ,JF2,H26/12～,S07A,4WD ターボ/G・ターボAパッケージ/X・ターボパッケージ,,13200,,226728,ESH-3397-qq-e-f1-5135,ESH-3397-qq-e-d-5135,4536190133977,ESH-3397,ESPELIR,DOWNSUS Plus,1台分,22～27/18～23,,2.3/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219128>BR-1738F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-ONE,JG1,H27/7～H29/11,S07A,2WD ターボ/プレミアムツアラー ローダウン/SSネオクラシックレーサー/SSアーバンブラックパッケージ<br>純正ローダウン車,Fr：13～18mm<br>Rr：13～18mm,13200,,223003,ESH-3779-qq-e-f1-5920,ESH-3779-qq-e-d-5920,4536190137791,ESH-3779,ESPELIR,DOWNSUS Plus,1台分,13～18/13～18,Fr：13～18mm<br>Rr：13～18mm,2.3/2.1,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218414>BR-954F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-ONE,JG1,H29/12～,S07A,2WD ターボ/RS<br>純正ローダウン車,Fr：13～18mm<br>Rr：13～18mm,13200,,224596,ESH-4392-qq-e-f1-5948,ESH-4392-qq-e-d-5948,4536190143921,ESH-4392,ESPELIR,DOWNSUS Plus,1台分,13～18/13～18,Fr：13～18mm<br>Rr：13～18mm,2.3/2.1,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214374>BR-954F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-ONE,JG2,H24/11～H29/11,S07A,4WD NA/G/G・Lパッケージ/G・SSブラウンスタイル/(スタビライザー無し車),Fr：20～25mm<br>Rr：15～20mm,13200,,225221,ESH-3398-qq-e-f1-5915,ESH-3398-qq-e-d-5915,4536190133984,ESH-3398,ESPELIR,DOWNSUS Plus,1台分,20～25/15～20,Fr：20～25mm<br>Rr：15～20mm,2.3/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215372>BR-954F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-ONE,JG2,H24/11～H29/11,S07A,4WD NA/プレミアム/プレミアム・Lパッケージ/プレミアム SSブラウンスタイル,Fr：25～30mm<br>Rr：15～20mm,13200,,223001,ESH-3400-qq-e-f1-5917,ESH-3400-qq-e-d-5917,4536190134004,ESH-3400,ESPELIR,DOWNSUS Plus,1台分,25～30/15～20,Fr：25～30mm<br>Rr：15～20mm,2.3/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219427>BR-954F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-ONE,JG2,H24/11～H29/11,S07A,4WD ターボ/ツアラー/ツアラー・Lパッケージ,,13200,,226729,ESH-3399-qq-e-f1-5916,ESH-3399-qq-e-d-5916,4536190133991,ESH-3399,ESPELIR,DOWNSUS Plus,1台分,20～25/15～20,,2.3/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213592>BR-954F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-ONE,JG2,H24/11～H29/11,S07A,4WD ターボ/プレミアムツアラー/プレミアムツアラー・Lパッケージ,,13200,,225970,ESH-3401-qq-e-f1-5918,ESH-3401-qq-e-d-5918,4536190134011,ESH-3401,ESPELIR,DOWNSUS Plus,1台分,25～30/15～20,,2.3/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218413>BR-954F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-ONE,JG2,H29/12～,S07A,4WD NA/スタンダード/スタンダード L/セレクト,Fr：20～25mm<br>Rr：15～20mm,13200,,223534,ESH-4369-qq-e-f1-5925,ESH-4369-qq-e-d-5925,4536190143693,ESH-4369,ESPELIR,DOWNSUS Plus,1台分,20～25/15～20,Fr：20～25mm<br>Rr：15～20mm,2.3/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217610>BR-954F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-ONE,JG2,H29/12～,S07A,4WD NA/プレミアム,Fr：25～30mm<br>Rr：15～20mm,13200,,225284,ESH-4381-qq-e-f1-5937,ESH-4381-qq-e-d-5937,4536190143815,ESH-4381,ESPELIR,DOWNSUS Plus,1台分,25～30/15～20,Fr：25～30mm<br>Rr：15～20mm,2.3/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219639>BR-954F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-ONE,JG2,H29/12～,S07A,4WD ターボ/スタンダード ツアラー/セレクト ツアラー,Fr：20～25mm<br>Rr：15～20mm,13200,,222775,ESH-4375-qq-e-f1-5931,ESH-4375-qq-e-d-5931,4536190143754,ESH-4375,ESPELIR,DOWNSUS Plus,1台分,20～25/15～20,Fr：20～25mm<br>Rr：15～20mm,2.3/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213594>BR-954F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-ONE,JG2,H29/12～,S07A,4WD ターボ/プレミアム ツアラー,Fr：20～25mm<br>Rr：15～20mm,13200,,222350,ESH-4387-qq-e-f1-5943,ESH-4387-qq-e-d-5943,4536190143877,ESH-4387,ESPELIR,DOWNSUS Plus,1台分,20～25/15～20,Fr：20～25mm<br>Rr：15～20mm,2.3/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218417>BR-954F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-WGN,JH1,H25/11～,S07A,2WD NA/G/G・Aパッケージ/コンフォートパッケージ/C,,13200,,225968,ESH-3378-qq-e-f1-5042,ESH-3378-qq-e-d-5042,4536190133786,ESH-3378,ESPELIR,DOWNSUS Plus,1台分,22～27/22～27,,2.8/2.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218677>BR-1422F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-WGN,JH1,H25/11～,S07A,2WD ターボ/G ターボパッケージ,Fr：25～30mm<br>Rr：27～32mm,13200,,222997,ESH-3380-qq-e-f1-5044,ESH-3380-qq-e-d-5044,4536190133809,ESH-3380,ESPELIR,DOWNSUS Plus,1台分,25～30/27～32,Fr：25～30mm<br>Rr：27～32mm,3/2.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219674>BR-1422F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-WGN,JH1,H27/4～,S07A,2WD NA/G・Lパッケージ/G・SSコンフォート/G・SSパッケージ,Fr：22～27mm<br>Rr：22～27mm,13200,,223447,ESH-4354-qq-e-f1-5049,ESH-4354-qq-e-d-5049,4536190143549,ESH-4354,ESPELIR,DOWNSUS Plus,1台分,22～27/22～27,Fr：22～27mm<br>Rr：22～27mm,2.8/2.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220675>BR-1422F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-WGN,JH1,H27/4～H28/5,S07A,2WD NA/G スタイリッシュパッケージ(スタビライザー付),,13200,,227492,ESH-3379-qq-e-f1-5043,ESH-3379-qq-e-d-5043,4536190133793,ESH-3379,ESPELIR,DOWNSUS Plus,1台分,25～30/27～32,,3/2.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216684>BR-1422F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-WGNカスタム,JH1,H25/11～,S07A,2WD NA/G/G・Aパッケージ,,13200,,226795,ESH-3373-qq-e-f1-5037,ESH-3373-qq-e-d-5037,4536190133731,ESH-3373,ESPELIR,DOWNSUS Plus,1台分,25～30/25～30,,3/2.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217645>BR-1422F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-WGNカスタム,JH1,H25/11～,S07A,2WD ターボ/G ターボパッケージ,,13200,,227560,ESH-3374-qq-e-f1-5038,ESH-3374-qq-e-d-5038,4536190133748,ESH-3374,ESPELIR,DOWNSUS Plus,1台分,25～30/25～30,,3/2.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/215831>BR-1422F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-WGNカスタム,JH1,H27/4～,S07A,2WD NA/G・Lパッケージ/G・SSクール/G・SSパッケージ,Fr：25～30mm<br>Rr：25～30mm,13200,,221608,ESH-4359-qq-e-f1-5054,ESH-4359-qq-e-d-5054,4536190143594,ESH-4359,ESPELIR,DOWNSUS Plus,1台分,25～30/25～30,Fr：25～30mm<br>Rr：25～30mm,3/2.5,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/214840>BR-1422F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-WGNカスタム,JH2,H25/11～,S07A,4WD NA/G/G・Aパッケージ,,13200,,225967,ESH-3375-qq-e-f1-5039,ESH-3375-qq-e-d-5039,4536190133755,ESH-3375,ESPELIR,DOWNSUS Plus,1台分,25～30/20～25,,3/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219672>BR-1422F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-WGNカスタム,JH2,H25/11～,S07A,4WD ターボ/G ターボパッケージ,,13200,,226727,ESH-3376-qq-e-f1-5040,ESH-3376-qq-e-d-5040,4536190133762,ESH-3376,ESPELIR,DOWNSUS Plus,1台分,25～30/20～25,,3/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219673>BR-1422F</a><br>リア:設定なし,,,30000,27600
ホンダ,N-WGNカスタム,JH2,H27/4～,S07A,4WD NA/G・Lパッケージ/G・SSクール/G・SSパッケージ,Fr：25～30mm<br>Rr：20～25mm,13200,,225051,ESH-4363-qq-e-f1-5058,ESH-4363-qq-e-d-5058,4536190143631,ESH-4363,ESPELIR,DOWNSUS Plus,1台分,25～30/20～25,Fr：25～30mm<br>Rr：20～25mm,3/3.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/219676>BR-1422F</a><br>リア:設定なし,,,30000,27600
ホンダ,ヴェゼル,RU1,H25/12～H30/1,L15B,2WD 1.5/G/S/X,Fr：17～22mm<br>Rr：15～20mm,17160,,223541,ESH-4475-qq-e-f1-3400,ESH-4475-qq-e-d-3400,4536190144751,ESH-4475,ESPELIR,DOWNSUS Plus,1台分,17～22/15～20,Fr：17～22mm<br>Rr：15～20mm,2.5/3.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/218907>BR-1522F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/217127>BR-1522R</a>,,,39000,31400
ホンダ,ヴェゼル,RU1,H30/2～,L15B,2WD 1.5/G ホンダセンシング/X ホンダセンシング,Fr：17～22mm<br>Rr：15～20mm,17160,,222043,ESH-4479-qq-e-f1-3404,ESH-4479-qq-e-d-3404,4536190144799,ESH-4479,ESPELIR,DOWNSUS Plus,1台分,17～22/15～20,Fr：17～22mm<br>Rr：15～20mm,2.5/3.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216856>BR-1522F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/213127>BR-1522R</a>,,,39000,31400
ホンダ,オデッセイアブソルート,RC1,H29/11～,K24W,2WD アブソルートEX ホンダセンシング/7人乗り,Fr：23～28mm<br>Rr：16～21mm,20900,,223610,ESH-4513-qq-e-f1-5075,ESH-4513-qq-e-d-5075,4536190145130,ESH-4513,ESPELIR,DOWNSUS Plus,1台分,23～28/16～21,Fr：23～28mm<br>Rr：16～21mm,3.7/6.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220686>BR-1475F</a><br>リア:設定なし,,,47500,35000
ホンダ,オデッセイアブソルート,RC1,H29/11～,K24W,2WD ホンダセンシング/7/8人乗り,,20900,,225878,ESH-4509-qq-e-f1-5071,ESH-4509-qq-e-d-5071,4536190145093,ESH-4509,ESPELIR,DOWNSUS Plus,1台分,23～28/16～21,,3.7/6.2,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216690>BR-1475F</a><br>リア:設定なし,,,47500,35000
ホンダ,フィット,GK3,H25/9～H29/5,L13B,2WD 前期/13G,Fr：10～15mm<br>Rr：15～20mm,16280,,222776,ESH-4440-qq-e-f1-3337,ESH-4440-qq-e-d-3337,4536190144409,ESH-4440,ESPELIR,DOWNSUS Plus,1台分,10～15/15～20,Fr：10～15mm<br>Rr：15～20mm,2.5/2.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/213613>BR-1277F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/220668>BR-1277R</a>,,,37000,30600
ホンダ,フィット,GK3,H25/9～H29/5,L13B,2WD 前期/13G・Fパッケージ/13G・Lパッケージ,,16720,,227319,ESH-4441-qq-e-f1-3338,ESH-4441-qq-e-d-3338,4536190144416,ESH-4441,ESPELIR,DOWNSUS Plus,1台分,10～15/15～20,,2.8/2.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216667>BR-1277F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215641>BR-1277R</a>,,,38000,31000
ホンダ,フィット,GK4,H25/9～H29/5,L13B,4WD 前期/13G,,17600,,226549,ESH-4443-qq-e-f1-3340,ESH-4443-qq-e-d-3340,4536190144430,ESH-4443,ESPELIR,DOWNSUS Plus,1台分,10～15/10～15,,2.8/6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/220657>BR-1277F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/219669>BR-1277R</a>,,,40000,31800
ホンダ,フィット,GK4,H25/9～H29/5,L13B,4WD 前期/13G・Fパッケージ/13G・Lパッケージ,Fr：10～15mm<br>Rr：15～20mm,17600,,223537,ESH-4444-qq-e-f1-3341,ESH-4444-qq-e-d-3341,4536190144447,ESH-4444,ESPELIR,DOWNSUS Plus,1台分,10～15/15～20,Fr：10～15mm<br>Rr：15～20mm,2.8/6,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/216668>BR-1277F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/216678>BR-1277R</a>,,,40000,31800
ホンダ,フィット,GK5,H25/9～H29/5,L15B,2WD 前期/15X,,16720,,225801,ESH-4442-qq-e-f1-3339,ESH-4442-qq-e-d-3339,4536190144423,ESH-4442,ESPELIR,DOWNSUS Plus,1台分,10～15/15～20,,2.8/2.7,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217628>BR-1277F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/215642>BR-1277R</a>,,ポジションランプの位置が低いため、装着後保安基準に抵触します,38000,31000
ホンダ,フィット,GK5,H25/9～H29/5,L15B,2WD 前期/15X・Lパッケージ,,16280,,227263,ESH-4447-qq-e-f1-3344,ESH-4447-qq-e-d-3344,4536190144478,ESH-4447,ESPELIR,DOWNSUS Plus,1台分,15～20/15～20,,2.4/2.3,バンプラバーの設定がある場合、同時交換がおススメです<br>下記設定なしとなっている場合も随時適合は増えますので、一度メーカーホームページにてご確認ください<br><br>フロント:<a href=https://www.kts-web.com/ec_shop/products/detail/217630>BR-1277F</a><br>リア:<a href=https://www.kts-web.com/ec_shop/products/detail/217643>BR-1277R</a>,,ポジションランプの位置が低いため、装着後保安基準に抵触します,37000,30600
